CODIGO	CLIENTE	TIPO PRODUCTO	MÁSTER	MARCA
00379	AQUAGOLD S.A.	ENTERO	2 Und * 12 Kg	SIN MARCA
00380	AQUAGOLD S.A.	ENTERO	2 Und * 12 Kg	SIN MARCA
00381	 BEST CHOICE TRADING CORP	COLA	10 Und * 4 Lb	BYC
00382	 BEST CHOICE TRADING CORP	COLA	10 Und * 5 Lb	GOLD
00383	Prime seafood S.L.	ENTERO	10 Und * 2 Kg	SIN MARCA
00384	ALALAMIA FOR IMPORT & EXPORT	ENTERO	6 Und * 2 Kg	GOLDEN SHRIMP
00385	MARISCOS CASTELLAR S.L.	ENTERO	6 Und * 1.80 Kg	CASTELLAR
00386	MARISCOS CASTELLAR S.L.	ENTERO	6 Und * 1.85 Kg	SIN MARCA
00387	PRIMSTAR B.V	ENTERO	1 Und * 12 Kg	VITAGULF
00388	MARISCOS CASTELLAR S.L.	ENTERO	6 Und * 1.75 Kg	SIN MARCA
00389	MARISCOS CASTELLAR S.L.	ENTERO	12 Und * 0.9 Kg	CASTELLAR
00391	SUNRISE FOOD TRADING INC	COLA	10 Und * 4 Lb	VITAGULF
00392	AQUAGOLD S.A.	ENTERO	12 Und * 1 Kg	GOLDEN SHRIMP
00393	AQUAGOLD S.A.	COLA	12 Und * 1 Kg	VITAGULF
00394	AQUAGOLD S.A.	VALOR AGREGADO	10 Und * 1.5 Kg	SIN MARCA
00395	AQUAGOLD S.A.	VALOR AGREGADO	10 Und * 1.5 Kg	SIN MARCA
00396	AQUAGOLD S.A.	VALOR AGREGADO	10 Und * 1.5 Kg	SIN MARCA
00397	AQUAGOLD S.A.	VALOR AGREGADO	10 Und * 1.5 Kg	SIN MARCA
00398	AQUAGOLD S.A.	VALOR AGREGADO	10 Und * 1.5 Kg	SIN MARCA
00399	MENGFU S H L., S L 	VALOR AGREGADO	10 Und * 2 Kg	GOLDEN SHRIMP
00400	AQUAGOLD S.A.	VALOR AGREGADO	10 Und * 1.5 Kg	SIN MARCA
00401	AQUAGOLD S.A.	VALOR AGREGADO	10 Und * 1.5 Kg	SIN MARCA
00402	ShenYang Yisheng Frozen Seafood Co., Ltd	ENTERO	6 Und * 1.5 Kg	JIN PAI
00403	ShenYang Yisheng Frozen Seafood Co., Ltd	ENTERO	6 Und * 1.80 Kg	JIN PAI (PATA ROJA)
00404	ShenYang Yisheng Frozen Seafood Co., Ltd	ENTERO	1 Und * 12 Kg	JIN PAI (PATA ROJA)
00405	AQUAGOLD S.A.	COLA	1 Und * 12 Kg	SIN MARCA
00408	GOLDEN RICH TRADING CO. LTD.	COLA	6 Und * 3.2 Lb	JIN YUAN
00410	EVERGLORY INT TRADING (SA) CC	COLA	6 Und * 1.80 Kg	JIN PAI
00411	SENECRUS	ENTERO	2 Und * 12 Kg	SIN MARCA
00413	AQUAGOLD S.A.	COLA	10 Und * 1.814 Kg	AQUA MARIS
00416	HAEWOO SEAFOOD CO., LTD 	ENTERO	6 Und * 2 Kg	GOLDEN SHRIMP
00417	SUPREME SEAFOODS LLC	VALOR AGREGADO	6 Und * 5 Lb	CROWN
00418	 BEST CHOICE TRADING CORP	ENTERO	10 Und * 4 Lb	BYC
00419	MARISCOS CASTELLAR S.L.	COLA	10 Und * 1.7 Kg	AQUA MARIS
00420	CRUSTA C S.A.S	ENTERO	2 Und * 12 Kg	AQUAGOLD
00423	MARUHA NICHIRO CORPORATION	VALOR AGREGADO	5 Und * 2 Kg	AQUAGOLD
00424	MARUHA NICHIRO CORPORATION	VALOR AGREGADO	5 Und * 2 Kg	AQUAGOLD
00426	CAPITAINE HOUAT	ENTERO	2 Und * 12 Kg	SIN MARCA
00427	Ascania Frozen Foods	COLA	2 Und * 10 Kg	SIN MARCA
00428	Ascania Frozen Foods	ENTERO	2 Und * 10 Kg	SIN MARCA
00429	Ascania Frozen Foods	COLA	2 Und * 10 Kg	SIN MARCA
00430	BLUE SEA PRODUCTS LLC	VALOR AGREGADO	10 Und * 2 Lb	BLUE SEA
00431	STE.,HASSAN TRADING CO., SARL	ENTERO	10 Und * 2 Kg	AQUAGOLD
00432	SEAFOOD CONNECTION	ENTERO	12 Und * 0.75 Kg	JIN PAI
00433	AQUAGOLD S.A.	COLA	10 Und * 2 Kg	AQUA MARIS
00434	CRUSTA C S.A.S	ENTERO	2 Und * 12 Kg	AQUAGOLD
00435	 BEST CHOICE TRADING CORP	ENTERO	6 Und * 3.8 Lb	GOLD
00436	ANCORA 7 S A	COLA	10 Und * 1.7 Kg	VITAGULF
00437	ANCORA 7 S A	ENTERO	10 Und * 2 Kg	VITAGULF
