CODIGO	CLIENTE	TIPO PRODUCTO	MÁSTER	MARCA
00158	ZUGGS, LLC	ENTERO	2 Und * 10 Kg	SIN MARCA
00159	ICELAND SEAFOOD IBERICA	ENTERO	2 Und * 4 Kg	OBA
00160	MABSOUT & IDRISS SAL	ENTERO	10 Und * 2 Kg	AQUA MARIS
00162	ICELAND SEAFOOD IBERICA	COLA	6 Und * 1.7 Kg	OBA
00163	FOOD MASTERS	ENTERO	10 Und * 2 Kg	AQUAGOLD
00164	VERTIGO SH.P.K	ENTERO	3 Und * 4 Kg	VITAGULF
00165	UNITED FORTUNE SEAFOOD CORPORATIO	ENTERO	12 Und* 0.580 Kg	VITAGULF
00166	COMAVICOLA	COLA	6 Und * 2 Kg	SANTA MARIA BLU
00168	COMAVICOLA	COLA	10 Und * 5 Lb	SANTA MARIA BLU
00169	HAN SEAFOOD, INC.	ENTERO	10 Und * 4 Lb	HAN SEAFOOD
00170	Norven-Scandinavia OÜ	ENTERO	2 Und * 12 Kg	SIN MARCA
00171	MIANPA S.A.	COLA	2 Und * 10 Kg	SIN MARCA
00172	COCEDERO DE MARISCOS	VALOR AGREGADO	2 Und * 12 Kg	SIN MARCA
00173	SEA WIN, INC.	ENTERO	10 Und * 4 Lb	GANIVA
00174	NAUTILUS SEAFOOD	ENTERO	10 Und * 4 Lb	VITAGULF
00175	PESCANOVA HELLAS LTD	ENTERO	6 Und * 2 Kg	SIN MARCA
00176	LAWRENCE WHOLESALE	COLA	6 Und * 4 Lb	VITAGULF
00177	MIANPA S.A.	ENTERO	2 Und * 10 Kg	SIN MARCA
00178	INTEROCEAN SEAFOOD TRADER INC	ENTERO	6 Und * 4 Lb	PRO OCEAN
00179	OVER SEAS CO	ENTERO	6 Und * 2 Kg	GOLDEN SHRIMP
00181	SEAFOOD CONNECTION	ENTERO	6 Und * 2 Kg	GOLDEN SHRIMP
00182	SEAFOOD CONNECTION	ENTERO	6 Und * 1.6 Kg	GOLDEN SHRIMP
00183	DISTRIBUIDORA CAMAVINGA SA DE CV	COLA	1 Und * 12 Kg	SIN MARCA
00184	DISTRIBUIDORA CAMAVINGA SA DE CV	VALOR AGREGADO	5 Und * 2 Kg	SIN MARCA
00186	CASMARK SEAFOODS LTD	ENTERO	6 Und * 4 Lb	JIN PAI
00187	SEAFOOD CONNECTION	ENTERO	6 Und * 2 Kg	GOLDEN SHRIMP
00192	HAI YANG SEAFOOD CO., LTD 	VALOR AGREGADO	6 Und * 2 Kg	JIN PAI
00194	HAI YANG SEAFOOD CO., LTD 	ENTERO	10 Und * 1.4 Kg	JIN PAI
00195	CASMARK SEAFOODS LTD	COLA	6 Und * 3.6 Lb	JIN PAI
00196	AQUAGOLD S.A.	VALOR AGREGADO	10 Und * 2 Lb	SIN MARCA
00197	AQUAGOLD S.A.	VALOR AGREGADO	10 Und * 2 Lb	SIN MARCA
00198	SAKKYS SEAFOOD TRADING	ENTERO	6 Und * 2 Kg	SIN MARCA
00199	STAR FOOD PRODUCTS, INC.	ENTERO	10 Und * 4 Lb	FSB
00202	COMERCIAL OCEANO LTDA	COLA	10 Und * 1 Kg	CRISTAL
00203	CENSEA	COLA	6 Und * 4 Lb	APAC
00204	HEIPLOEG INTERNATIONAL B.V.	VALOR AGREGADO	2 Und * 12 Kg	SIN MARCA
00205	HEIPLOEG INTERNATIONAL B.V.	VALOR AGREGADO	10 Und * 2 Kg	SIN MARCA
00206	GROENLANDA SERV SRL	ENTERO	10 Und * 1.6 Kg	GOLDEN SHRIMP
00207	SEAFOOD CONNECTION	ENTERO	10 Und * 1 Kg	GOLDEN SHRIMP
00208	CENSEA	VALOR AGREGADO	5 Und * 2 Lb	CENSEA
00209	CENSEA	COLA	10 Und * 4 Lb	OCEAN GARDEN
00210	CENSEA	COLA	6 Und * 5 Lb	OCEAN GARDEN
00211	AQUAGOLD S.A.	VALOR AGREGADO	10 Und * 2 Lb	VITAGULF
00212	AQUAGOLD S.A.	VALOR AGREGADO	10 Und * 2 Lb	GOLDEN SHRIMP
00213	AQUAGOLD S.A.	VALOR AGREGADO	1 Und * 30 Lb	SIN MARCA
00214	AQUAGOLD S.A.	ENTERO	1 Und * 30 Lb	SIN MARCA
00215	STAR FOOD PRODUCTS, INC.	VALOR AGREGADO	5 Und * 2 Lb	FSB
00216	PROMOCEANS INTERNATIONAL LTD	VALOR AGREGADO	5 Und * 2 Lb	SAPHIRE BAY
00217	TRITON SEA PRODUCTS, INC.	VALOR AGREGADO	20 Und * 1 Lb	TRITON
00218	TRITON SEA PRODUCTS, INC.	VALOR AGREGADO	4 Und * 5 Lb	TRITON
00219	TRITON SEA PRODUCTS, INC.	ENTERO	20 Und * 1 Lb	TRITON
00220	SEAFOOD CONNECTION	ENTERO	12 Und * 0.75 Kg	VITAGULF
00221	SEAFOOD CONNECTION	ENTERO	6 Und * 1.6 Kg	JIN PAI
00222	ICELAND SEAFOOD IBERICA	COLA	10 Und * 1.7 Kg	SIN MARCA
00224	ICELAND SEAFOOD IBERICA	ENTERO	10 Und * 0.9 Kg	OBA
00225	ICELAND SEAFOOD IBERICA	ENTERO	10 Und * 1.9 Kg	GOLDEN SHRIMP
00226	ICELAND SEAFOOD IBERICA	VALOR AGREGADO	10 Und * 0.75 Kg	OBA
00227	ICELAND SEAFOOD IBERICA	VALOR AGREGADO	10 Und * 0.75 Kg	OBA
00228	ICELAND SEAFOOD IBERICA	COLA	10 Und * 1.9 Kg	GOLDEN SHRIMP
00229	LAWRENCE WHOLESALE	VALOR AGREGADO	5 Und * 2 Lb	VITAGULF
00232	PESCANOVA HELLAS LTD	ENTERO	1 Und * 12 Kg	SIN MARCA
00233	AL TAHALUF FOOD STUFF AND TRADING WLL	ENTERO	6 Und * 2 Kg	SIN MARCA
00234	PESCANOVA HELLAS LTD	ENTERO	3 Und * 4 Kg	SIN MARCA
00235	TIANJIN JINFULIN	ENTERO	1 Und * 12 Kg	GOLD FULIN
00236	PESCANOVA INC	COLA	2 Und * 20 Lb	SIN MARCA
00237	AQUAGOLD S.A.	COLA	10 Und * 2 Lb	SIN MARCA
00238	ICELAND SEAFOOD IBERICA	ENTERO	2 Und * 10 Kg	SIN MARCA
00239	AQUAGOLD S.A.	VALOR AGREGADO	2 Und * 20 Lb	SIN MARCA
00240	LABEYRIE FINE FOODS	ENTERO	2 Und * 12 Kg	SIN MARCA
00241	BEIRAGEL	ENTERO	2 Und * 3.9 Kg	SIN MARCA
00242	BEIRAGEL	ENTERO	10 Und * 2 Kg	GOLDEN SHRIMP
00243	IBERICA DE CONGELADOS, S.A.U	ENTERO	2 Und * 3.9 Kg	SIN MARCA
00244	CRUSTA C S.A.S	ENTERO	2 Und * 12 Kg	AQUAGOLD
00245	IBERICA DE CONGELADOS, S.A.U	ENTERO	2 Und * 4.4 Kg	SIN MARCA
00246	GRUPO PROFAND, S.L.U	ENTERO	1 Und * 12 Kg	AQUAGOLD
00247	INTERNATIONAL SEAFOOD	COLA	6 Und * 1.6 Kg	VITAGULF
00248	BLUE SEA PRODUCTS LLC	COLA	6 Und * 4 Lb	BLUE SEA
00249	CRUSTA C S.A.S	COLA	2 Und * 12 Kg	AQUAGOLD
00250	LAWRENCE WHOLESALE	COLA	10 Und * 4 Lb	GOLDEN SHRIMP
00251	LAWRENCE WHOLESALE	VALOR AGREGADO	5 Und * 2 Lb	GOLDEN SHRIMP
00252	LAWRENCE WHOLESALE	VALOR AGREGADO	5 Und * 2 Lb	GOLDEN SHRIMP
00253	LAWRENCE WHOLESALE	VALOR AGREGADO	10 Und * 2 Lb	GOLDEN SHRIMP
00254	COMAVICOLA	ENTERO	6 Und * 2 Kg	SANTA MARIA BLU
00255	SI2A	ENTERO	2 Und * 10 Kg	SIN MARCA
00256	PESCAFACIL S.L.	ENTERO	2 Und * 12 Kg	SIN MARCA
00258	SHAHJALAL FOODS UK LTD	ENTERO	6 Und * 1.80 Kg	SHAHJALAL
00259	PREMIUM FOODS	ENTERO	10 Und * 3.6 Lb	SHAHJALAL
00261	PREMIUM FOODS	COLA	10 Und * 3.6 Lb	SHAHJALAL
00262	HEIPLOEG INTERNATIONAL B.V.	VALOR AGREGADO	2 Und * 10 Kg	SIN MARCA
00263	SN TRADING	ENTERO	2 Und * 12 Kg	SIN MARCA
00264	VERTIGO SH.P.K	COLA	10 Und * 1.4 Kg	GOLDEN SHRIMP
00265	VERTIGO SH.P.K	ENTERO	10 Und * 1.4 Kg	GOLDEN SHRIMP
00266	LEQUALITY LIFE CO., LTD 	ENTERO	12 Und * 0.6 Kg	GOLDEN SHRIMP
00267	PESCANOVA ITALIA SRL	ENTERO	1 Und * 5.1 Kg	RIAZOR
00268	AQUAGOLD S.A.	COLA	10 Und * 2 Kg	SIN MARCA
00269	AQUAGOLD S.A.	COLA	10 Und * 2 Kg	SIN MARCA
00270	IMAEX TRADING CO. INC.	COLA	10 Und * 4 Lb	BEAUTY WING
00271	NV HOTTLET FROZEN FOODS	VALOR AGREGADO	12 Und * 0.80 Kg	VITAGULF
00272	COCEDERO DE MARISCOS	ENTERO	2 Und * 12 Kg	SIN MARCA
00273	AQUAGOLD S.A.	ENTERO	1 Und * 12 Kg	SIN MARCA
00274	FAISAL ABDULLA SEAFOOD PROCESSING	ENTERO	6 Und * 2 Kg	SIN MARCA
00275	MAR&MONTI SRL	COLA	10 Und * 1.88 Kg	MAR&MONTI
00276	ACADIAN FISH CO	COLA	10 Und * 2 Lb	VITAGULF
00277	BALLINODE SEAFOODS	ENTERO	10 Und * 2 Kg	GOLDEN SHRIMP
00278	BALLINODE SEAFOODS	COLA	6 Und * 0.8 Kg	BLUE OCEAN
00279	Bright Springs Foods, LLC	VALOR AGREGADO	4 Und * 5 Lb	VITAGULF
